代码,名称,最新价,涨跌幅%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.99,-0.54,流出,-12921.08,-12.67,-8623.9,-8.46,-4297.19,-4.21,8761.16,8.59,4159.92,4.08,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000002,万  科Ａ,3.78,-2.33,流出,-6714.36,-15.36,-2647.92,-6.06,-4066.44,-9.3,1972.81,4.51,4741.55,10.85,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000006,深振业Ａ,9.73,-2.11,流入,1094.27,2.55,-1726.06,-4.03,2820.33,6.58,2801.04,6.53,-3895.31,-9.08,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000007,全新好,12.6,-2.02,流出,-1450.85,-7.83,-1418.06,-7.66,-32.78,-0.18,1028.91,5.55,421.94,2.28,2026-05-15T14:46:33+08:00,2026-05-15T14:46:37+08:00
000008,神州高铁,2.69,-1.82,流出,-1073.96,-8.03,-598.98,-4.48,-474.97,-3.55,-318.37,-2.38,1392.33,10.41,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000009,中国宝安,7.92,-1.12,流出,-782.12,-3.95,-1122.82,-5.66,340.71,1.72,247.9,1.25,534.22,2.69,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000010,*ST美丽,2.7,3.85,流入,2364.14,15.13,1197.55,7.66,1166.6,7.46,-996.71,-6.38,-1367.43,-8.75,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000011,深物业A,7.59,-1.81,流出,-122.72,-2.91,0.0,0.0,-122.72,-2.91,163.98,3.89,-41.26,-0.98,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000012,南  玻Ａ,3.74,-2.86,流出,-1217.51,-12.64,-1100.38,-11.42,-117.13,-1.22,-302.61,-3.14,1520.11,15.78,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000014,沙河股份,12.09,-1.71,流出,-974.12,-13.26,-142.62,-1.94,-831.5,-11.32,175.52,2.39,798.6,10.87,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000016,*ST康佳A,3.17,-2.16,流出,-860.6,-8.91,-112.96,-1.17,-747.64,-7.74,294.46,3.05,566.14,5.86,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000017,深中华A,5.93,-0.67,流出,-6.29,-0.17,0.0,0.0,-6.29,-0.17,-21.8,-0.59,28.09,0.76,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000019,深粮控股,7.03,-1.82,流出,-1305.11,-13.76,-126.4,-1.33,-1178.71,-12.42,502.34,5.3,802.77,8.46,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000020,深华发Ａ,13.68,-2.01,流出,-933.12,-10.14,-254.45,-2.77,-678.67,-7.38,-66.87,-0.73,1000.0,10.87,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000021,深科技,33.77,-1.66,流出,-18212.08,-3.52,-7965.88,-1.54,-10246.2,-1.98,-790.01,-0.15,19002.09,3.68,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000025,特  力Ａ,15.4,-1.03,流出,-1096.47,-18.77,-201.05,-3.44,-895.42,-15.33,189.67,3.25,906.8,15.52,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000026,飞亚达,20.2,-0.39,流出,-784.11,-1.78,723.54,1.64,-1507.65,-3.43,647.7,1.47,136.42,0.31,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000027,深圳能源,7.27,-0.82,流出,-3248.16,-7.7,-1065.01,-2.53,-2183.15,-5.18,-473.17,-1.12,3721.33,8.83,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000028,国药一致,24.14,-0.21,流出,-517.55,-10.51,121.49,2.47,-639.04,-12.97,137.61,2.79,379.94,7.71,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000029,深深房Ａ,29.0,3.53,流入,2135.67,5.35,1322.9,3.31,812.77,2.04,-1521.33,-3.81,-614.34,-1.54,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000030,富奥股份,4.82,-0.41,流入,861.49,10.13,-418.86,-4.92,1280.35,15.05,1185.63,13.94,-2047.12,-24.07,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000031,大悦城,2.86,-1.04,流入,1193.13,14.15,43.08,0.51,1150.05,13.63,581.12,6.89,-1774.25,-21.04,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000032,深桑达Ａ,18.4,0.27,流出,-1786.44,-4.9,-1401.94,-3.85,-384.5,-1.06,2394.77,6.57,-608.33,-1.67,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000034,神州数码,41.08,0.44,流出,-2179.6,-1.49,-1600.01,-1.09,-579.59,-0.4,-517.01,-0.35,2696.61,1.84,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000035,中国天楹,6.2,-3.58,流出,-1905.96,-5.99,-1490.18,-4.69,-415.79,-1.31,1222.32,3.84,683.64,2.15,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
000036,华联控股,5.71,-1.21,流出,-1837.12,-7.68,-126.56,-0.53,-1710.56,-7.15,511.18,2.14,1325.95,5.54,2026-05-15T14:46:36+08:00,2026-05-15T14:46:37+08:00
