代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000001,平安银行,10.23,-1.82,0.64,流出,-14568.58,-11.46,-11017.75,-8.67,-3550.83,-2.79,9544.63,7.51,5023.95,3.95,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000002,万  科Ａ,3.01,2.03,2.14,流入,12098.2,19.24,13454.94,21.4,-1356.74,-2.16,-5098.06,-8.11,-7000.15,-11.13,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000004,国华退,0.28,7.69,8.99,流入,18.75,6.31,15.6,5.25,3.15,1.06,3.44,1.16,-22.19,-7.47,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000006,深振业Ａ,7.17,-2.58,1.42,流出,-852.23,-6.11,-775.1,-5.55,-77.13,-0.55,-317.43,-2.27,1169.66,8.38,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000007,全新好,12.66,-2.84,1.8,流出,-413.67,-5.25,-387.41,-4.92,-26.27,-0.33,235.28,2.99,178.4,2.27,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000008,神州高铁,2.25,-3.85,1.29,流出,-1512.51,-19.0,-834.58,-10.48,-677.92,-8.52,221.88,2.79,1290.62,16.21,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000009,中国宝安,6.19,-5.93,1.32,流出,-1798.21,-8.35,-460.03,-2.14,-1338.18,-6.22,-1470.99,-6.83,3269.2,15.19,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000010,*ST美丽,1.78,-2.2,1.68,流入,300.48,11.32,0.0,0.0,300.48,11.32,-252.64,-9.52,-47.83,-1.8,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000011,深物业A,6.63,-3.35,0.7,流出,-361.14,-14.7,0.0,0.0,-361.14,-14.7,73.59,2.99,287.55,11.7,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000012,南  玻Ａ,4.8,0.63,7.82,流出,-149.31,-0.2,150.59,0.2,-299.9,-0.4,-671.42,-0.89,820.73,1.09,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000014,沙河股份,9.28,-3.13,2.16,流出,-592.16,-12.04,-290.06,-5.9,-302.1,-6.14,6.27,0.13,585.88,11.91,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000016,*ST康佳A,2.31,-2.53,2.29,流出,-298.22,-3.57,-74.52,-0.89,-223.71,-2.67,-37.36,-0.45,335.58,4.01,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000017,深中华A,5.05,-1.37,2.17,流入,36.77,0.76,0.0,0.0,36.77,0.76,375.67,7.76,-412.44,-8.52,2026-06-26T15:03:57+08:00,2026-06-26T15:04:15+08:00
000019,深粮控股,5.69,-1.56,1.63,流入,28.07,0.73,-114.4,-2.96,142.47,3.69,-233.31,-6.04,205.24,5.31,2026-06-26T15:04:00+08:00,2026-06-26T15:04:15+08:00
000020,深华发Ａ,10.85,-1.99,2.38,流入,42.14,0.9,0.0,0.0,42.14,0.9,42.8,0.91,-84.94,-1.81,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000021,深科技,53.51,0.58,14.44,流出,-79996.83,-6.42,-79833.81,-6.41,-163.02,-0.01,34188.21,2.74,45808.62,3.68,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000025,特  力Ａ,14.48,2.48,1.94,流入,357.82,3.3,300.72,2.77,57.1,0.53,-221.91,-2.04,-135.91,-1.25,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000026,飞亚达,19.72,-5.28,3.27,流出,-2045.3,-8.52,-549.59,-2.29,-1495.71,-6.23,-976.16,-4.07,3021.45,12.59,2026-06-26T15:04:03+08:00,2026-06-26T15:04:15+08:00
000027,深圳能源,6.41,-3.9,1.06,流出,-3049.73,-9.21,-3531.93,-10.67,482.2,1.46,1797.2,5.43,1252.53,3.78,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000028,国药一致,19.1,-1.8,0.34,流出,-349.79,-10.16,0.0,0.0,-349.79,-10.16,-176.14,-5.12,525.93,15.28,2026-06-26T15:04:12+08:00,2026-06-26T15:04:15+08:00
000029,深深房Ａ,23.34,-2.95,1.28,流出,-1389.66,-5.08,-1026.99,-3.76,-362.67,-1.33,1075.54,3.93,314.13,1.15,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000030,富奥股份,3.93,-2.0,0.54,流出,-392.84,-10.94,0.0,0.0,-392.84,-10.94,-179.62,-5.0,572.46,15.94,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000031,大悦城,2.17,-2.69,0.78,流入,132.11,1.8,97.61,1.33,34.5,0.47,-16.08,-0.22,-116.03,-1.58,2026-06-26T15:04:12+08:00,2026-06-26T15:04:15+08:00
000032,深桑达Ａ,24.22,-5.69,7.29,流出,-21790.21,-10.57,-20377.28,-9.89,-1412.94,-0.69,-1893.8,-0.92,23684.01,11.49,2026-06-26T15:04:15+08:00,2026-06-26T15:04:15+08:00
000034,神州数码,26.62,-4.72,10.06,流入,626.95,0.27,-13258.33,-5.73,13885.28,6.0,4488.26,1.94,-5115.22,-2.21,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000035,中国天楹,4.95,-1.79,1.49,流出,-299.11,-1.73,-892.98,-5.15,593.87,3.43,657.64,3.79,-358.52,-2.07,2026-06-26T15:03:18+08:00,2026-06-26T15:04:15+08:00
000036,华联控股,4.48,-4.88,1.72,流出,-1310.32,-11.91,-151.52,-1.38,-1158.79,-10.54,594.59,5.41,715.72,6.51,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000037,深南电A,8.87,-3.17,7.26,流出,-609.98,-2.72,-111.56,-0.5,-498.43,-2.22,-407.67,-1.82,1017.65,4.54,2026-06-26T15:04:06+08:00,2026-06-26T15:04:15+08:00
000039,中集集团,8.43,-4.31,1.96,流出,-5452.69,-14.15,267.9,0.7,-5720.59,-14.85,2363.34,6.13,3089.35,8.02,2026-06-26T15:04:15+08:00,2026-06-26T15:04:15+08:00
000042,中洲控股,8.34,-6.82,2.14,流出,-875.14,-7.29,-516.77,-4.31,-358.37,-2.99,1167.74,9.73,-292.61,-2.44,2026-06-26T15:04:12+08:00,2026-06-26T15:04:15+08:00
000045,深纺织Ａ,10.0,-1.48,1.4,流出,-215.97,-3.33,0.0,0.0,-215.97,-3.33,-76.44,-1.18,292.41,4.51,2026-06-26T15:04:15+08:00,2026-06-26T15:04:15+08:00
000048,京基智农,21.73,-2.6,5.96,流入,3656.44,5.33,306.12,0.45,3350.33,4.88,-864.75,-1.26,-2791.7,-4.07,2026-06-26T15:03:18+08:00,2026-06-26T15:04:15+08:00
000049,德赛电池,23.1,-6.78,2.67,流出,-230.91,-0.95,30.96,0.13,-261.87,-1.08,106.8,0.44,124.11,0.51,2026-06-26T15:03:21+08:00,2026-06-26T15:04:15+08:00
000050,深天马Ａ,9.88,-4.82,5.51,流出,-16629.53,-12.09,-10217.05,-7.43,-6412.48,-4.66,5069.11,3.69,11560.42,8.4,2026-06-26T15:04:12+08:00,2026-06-26T15:04:15+08:00
000055,方大集团,3.36,-2.33,2.09,流出,-330.84,-6.92,-222.34,-4.65,-108.5,-2.27,589.96,12.35,-259.12,-5.42,2026-06-26T15:03:24+08:00,2026-06-26T15:04:15+08:00
000056,*ST皇庭,2.07,5.08,3.11,流入,925.36,16.05,857.64,14.87,67.72,1.17,-370.95,-6.43,-554.41,-9.61,2026-06-26T15:03:18+08:00,2026-06-26T15:04:15+08:00
000058,深 赛 格,6.13,-1.92,0.69,流出,-444.08,-10.68,-123.01,-2.96,-321.06,-7.72,-28.88,-0.69,472.95,11.37,2026-06-26T15:04:09+08:00,2026-06-26T15:04:15+08:00
000059,华锦股份,3.83,-3.04,1.41,流出,-407.71,-4.68,-354.01,-4.06,-53.71,-0.62,-677.39,-7.77,1085.11,12.45,2026-06-26T15:04:12+08:00,2026-06-26T15:04:15+08:00
000060,中金岭南,7.68,-3.52,6.96,流出,-11021.28,-4.53,-2043.24,-0.84,-8978.04,-3.69,8219.33,3.38,2801.95,1.15,2026-06-26T15:03:21+08:00,2026-06-26T15:04:15+08:00
000061,农 产 品,5.31,-1.85,1.49,流出,-3855.89,-26.85,-1827.56,-12.73,-2028.34,-14.12,173.94,1.21,3681.95,25.64,2026-06-26T15:03:27+08:00,2026-06-26T15:04:15+08:00
000062,深圳华强,30.77,-9.87,6.34,流出,-24875.47,-11.79,-16874.51,-8.0,-8000.96,-3.79,7528.17,3.57,17347.3,8.22,2026-06-26T15:03:21+08:00,2026-06-26T15:04:15+08:00
000063,中兴通讯,35.67,-7.21,5.82,流出,-195974.83,-22.95,-130019.32,-15.23,-65955.51,-7.72,42282.15,4.95,153692.68,18.0,2026-06-26T15:03:30+08:00,2026-06-26T15:04:15+08:00
000065,北方国际,10.4,-8.45,2.89,流出,-2469.87,-8.14,-1659.61,-5.47,-810.26,-2.67,272.04,0.9,2197.83,7.25,2026-06-26T15:03:24+08:00,2026-06-26T15:04:15+08:00
000066,中国长城,18.57,-9.28,9.85,流出,-85677.94,-14.0,-63594.56,-10.39,-22083.37,-3.61,24112.95,3.94,61564.99,10.06,2026-06-26T15:03:24+08:00,2026-06-26T15:04:15+08:00
000068,华控赛格,2.83,-3.74,2.14,流入,170.93,2.74,-10.64,-0.17,181.57,2.91,548.02,8.79,-718.96,-11.53,2026-06-26T15:04:15+08:00,2026-06-26T15:04:15+08:00
000069,华侨城Ａ,1.63,-1.81,0.91,流出,-40.02,-0.38,560.06,5.33,-600.07,-5.71,-54.28,-0.52,94.3,0.9,2026-06-26T15:03:33+08:00,2026-06-26T15:04:15+08:00
000070,特发信息,22.29,-10.01,10.66,流出,-29006.86,-13.95,-28906.11,-13.9,-100.74,-0.05,5646.57,2.72,23360.29,11.23,2026-06-26T15:03:27+08:00,2026-06-26T15:04:15+08:00
000078,ST海王,1.39,1.46,2.78,流入,1436.0,14.04,317.74,3.11,1118.26,10.94,-681.45,-6.66,-754.54,-7.38,2026-06-26T15:03:30+08:00,2026-06-26T15:04:15+08:00
