行业代码,行业名称,平均价,平均涨跌幅%,资金流向,流入金额(万),流出金额(万),净流入(万),净流入率%,主力净占比%,散户净占比%,资金流时间,抓取时间
sw2_110100,种植业,5.4704,-0.74,流出,48166.72,50811.88,-2645.16,-2.64,-1.21,0.21,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_110200,渔业,4.381,-1.4,流出,8515.9,11832.23,-3316.33,-16.07,-6.91,-3.57,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_110300,林业Ⅱ,22.18,5.02,流入,65.43,10.2,55.23,73.02,0.0,43.99,2026-05-27T14:59:00+08:00,2026-05-27T15:53:07+08:00
sw2_110400,饲料,13.977,-1.27,流入,8908.39,7631.98,1276.41,7.3,0.47,1.63,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_110500,农产品加工,20.1697,1.63,流出,50350.43,53440.68,-3090.25,-2.9,2.65,-1.57,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_110700,养殖业,11.6506,-1.75,流出,40273.47,49939.37,-9665.9,-10.37,-3.32,-1.32,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_110800,动物保健Ⅱ,11.1421,-2.61,流入,14065.75,13678.17,387.58,1.36,2.75,-0.85,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_110900,农业综合Ⅱ,4.88,-3.17,流入,937.52,769.07,168.45,12.52,0.0,-5.89,2026-05-27T14:58:00+08:00,2026-05-27T15:53:07+08:00
sw2_220200,化学原料,11.291,-2.01,流出,465651.23,478198.2,-12546.98,-1.27,1.96,-0.11,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_220300,化学制品,18.82,-2.13,流出,734955.88,848953.81,-113997.94,-6.88,-1.01,-0.87,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_220400,化学纤维,9.959,-2.42,流出,90202.91,112063.66,-21860.76,-10.54,-3.54,-1.32,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_220500,塑料,28.3996,-4.9,流出,832941.08,1010635.87,-177694.79,-9.06,-4.23,-0.3,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_220600,橡胶,7.877,-2.24,流出,12719.03,18154.84,-5435.81,-17.15,-6.34,-1.31,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_220800,农化制品,9.3432,-2.74,流出,192020.66,252992.72,-60972.07,-13.25,-7.29,-0.65,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_220900,非金属材料Ⅱ,40.075,-4.09,流出,128746.65,151693.8,-22947.15,-7.62,-3.41,-0.65,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
sw2_230300,冶钢原料,7.2805,-5.33,流出,13489.75,21642.74,-8152.99,-22.91,-8.44,0.7,2026-05-27T15:00:00+08:00,2026-05-27T15:53:07+08:00
