代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000001,平安银行,11.36,-1.13,62.68,流出,-14127.46,2026-05-06T15:00:00+08:00,2026-05-27T09:17:07+08:00
000002,万  科Ａ,4.01,2.56,188.16,流入,14093.01,2026-05-06T15:00:00+08:00,2026-05-27T09:17:07+08:00
000006,深振业Ａ,9.47,-2.37,315.63,流出,-1941.02,2026-05-06T15:00:00+08:00,2026-05-27T09:17:07+08:00
000007,全新好,15.97,2.97,512.75,流出,-540.51,2026-05-06T15:00:00+08:00,2026-05-27T09:17:08+08:00
000008,神州高铁,2.7,0.37,176.8,流入,225.11,2026-05-06T15:00:00+08:00,2026-05-27T09:17:08+08:00
000009,中国宝安,8.74,1.04,166.41,流入,5630.74,2026-05-06T15:00:00+08:00,2026-05-27T09:17:09+08:00
000010,*ST美丽,2.75,-4.84,17.64,持平,0.0,2026-05-06T15:00:00+08:00,2026-05-27T09:17:09+08:00
000011,深物业A,8.0,-0.87,137.23,流出,-305.51,2026-05-06T15:00:00+08:00,2026-05-27T09:17:09+08:00
000012,南  玻Ａ,4.03,0.0,151.77,流出,-246.91,2026-05-06T15:00:00+08:00,2026-05-27T09:17:31+08:00
000014,沙河股份,13.1,-0.76,323.99,流出,-782.15,2026-05-06T15:00:00+08:00,2026-05-27T09:17:31+08:00
000016,*ST康佳A,3.08,-4.94,310.38,流入,2678.77,2026-05-06T15:00:00+08:00,2026-05-27T09:17:32+08:00
000017,深中华A,6.41,0.0,161.91,流出,-224.35,2026-05-06T15:00:00+08:00,2026-05-27T09:17:32+08:00
000019,深粮控股,7.82,1.69,447.1,流入,872.17,2026-05-06T15:00:00+08:00,2026-05-27T09:17:33+08:00
000020,深华发Ａ,15.95,-0.06,401.94,流出,-481.43,2026-05-06T15:00:00+08:00,2026-05-27T09:17:33+08:00
000021,深科技,30.72,5.13,801.0,流入,17900.1,2026-05-06T15:00:00+08:00,2026-05-27T09:17:34+08:00
000025,特  力Ａ,16.31,-1.75,191.49,流出,-960.78,2026-05-06T15:00:00+08:00,2026-05-27T09:17:34+08:00
000026,飞亚达,17.85,-1.54,411.88,流出,-412.63,2026-05-06T15:00:00+08:00,2026-05-27T09:17:35+08:00
000027,深圳能源,7.04,2.92,109.03,流入,7116.02,2026-05-06T15:00:00+08:00,2026-05-27T09:17:35+08:00
000028,国药一致,24.57,0.12,89.67,流出,-410.7,2026-05-06T15:00:00+08:00,2026-05-27T09:17:36+08:00
000029,深深房Ａ,21.14,-0.56,107.97,流出,-715.54,2026-05-06T15:00:00+08:00,2026-05-27T09:17:36+08:00
000030,富奥股份,5.1,0.2,99.67,流出,-308.77,2026-05-06T15:00:00+08:00,2026-05-27T09:17:36+08:00
000031,大悦城,3.09,0.98,61.37,流入,614.89,2026-05-06T15:00:00+08:00,2026-05-27T09:17:37+08:00
000032,深桑达Ａ,17.84,2.88,251.3,流入,8398.62,2026-05-06T15:00:00+08:00,2026-05-27T09:17:37+08:00
000034,神州数码,39.43,4.67,749.04,流入,39488.11,2026-05-06T15:00:00+08:00,2026-05-27T09:17:38+08:00
000035,中国天楹,6.59,0.92,194.84,流入,2126.41,2026-05-06T15:00:00+08:00,2026-05-27T09:17:38+08:00
000036,华联控股,5.59,0.0,340.6,流入,68.74,2026-05-06T15:00:00+08:00,2026-05-27T09:17:39+08:00
000037,深南电A,11.18,3.52,1071.89,流入,3072.84,2026-05-06T15:00:00+08:00,2026-05-27T09:17:39+08:00
000039,中集集团,13.36,7.83,519.05,流入,35305.92,2026-05-06T15:00:00+08:00,2026-05-27T09:17:39+08:00
000042,中洲控股,9.76,1.35,404.2,流入,3216.2,2026-05-06T15:00:00+08:00,2026-05-27T09:17:40+08:00
000045,深纺织Ａ,12.14,1.08,175.95,流入,206.87,2026-05-06T15:00:00+08:00,2026-05-27T09:17:40+08:00
000048,京基智农,14.67,-0.47,234.69,流出,-725.21,2026-05-06T15:00:00+08:00,2026-05-27T09:17:41+08:00
000049,德赛电池,29.39,1.21,477.48,流出,-738.08,2026-05-06T15:00:00+08:00,2026-05-27T09:17:41+08:00
000050,深天马Ａ,7.6,-0.26,135.63,流出,-1518.99,2026-05-06T15:00:00+08:00,2026-05-27T09:17:42+08:00
000055,方大集团,3.71,1.64,222.92,流出,-283.06,2026-05-06T15:00:00+08:00,2026-05-27T09:17:42+08:00
000056,*ST皇庭,1.79,2.87,1268.0,流入,1200.36,2026-05-06T15:00:00+08:00,2026-05-27T09:17:43+08:00
000058,深 赛 格,8.23,0.37,76.71,流入,10.04,2026-05-06T15:00:00+08:00,2026-05-27T09:17:43+08:00
000059,华锦股份,5.48,-3.69,356.68,流出,-1885.69,2026-05-06T15:00:00+08:00,2026-05-27T09:17:44+08:00
000060,中金岭南,7.43,10.07,607.32,流入,75051.67,2026-05-06T15:00:00+08:00,2026-05-27T09:17:44+08:00
000061,农 产 品,7.53,2.03,132.5,流入,1427.56,2026-05-06T15:00:00+08:00,2026-05-27T09:17:45+08:00
000062,深圳华强,36.88,-0.11,1229.68,流出,-36723.43,2026-05-06T15:00:00+08:00,2026-05-27T09:17:45+08:00
000063,中兴通讯,38.25,4.22,538.06,流入,133965.18,2026-05-06T15:00:00+08:00,2026-05-27T09:17:46+08:00
000065,北方国际,13.21,3.28,372.71,流入,7209.02,2026-05-06T15:00:00+08:00,2026-05-27T09:17:46+08:00
000066,中国长城,21.8,9.99,118.52,流入,16501.32,2026-05-06T15:00:00+08:00,2026-05-27T09:17:46+08:00
000068,华控赛格,3.27,-0.3,134.01,流出,-178.29,2026-05-06T15:00:00+08:00,2026-05-27T09:17:47+08:00
000069,华侨城Ａ,2.27,0.44,83.39,流入,1650.49,2026-05-06T15:00:00+08:00,2026-05-27T09:17:47+08:00
000070,特发信息,18.28,1.11,948.65,流入,4239.7,2026-05-06T15:00:00+08:00,2026-05-27T09:17:48+08:00
000078,ST海王,3.02,-5.03,4.32,持平,0.0,2026-05-06T15:00:00+08:00,2026-05-27T09:17:48+08:00
000088,盐 田 港,4.53,0.0,70.17,流入,313.57,2026-05-06T15:00:00+08:00,2026-05-27T09:17:49+08:00
000089,深圳机场,7.05,-1.12,73.71,流出,-772.62,2026-05-06T15:00:00+08:00,2026-05-27T09:17:49+08:00
000090,天健集团,3.54,0.57,111.28,流入,802.13,2026-05-06T15:00:00+08:00,2026-05-27T09:17:50+08:00
000096,广聚能源,9.61,-1.23,156.08,流出,-160.89,2026-05-06T15:00:00+08:00,2026-05-27T09:17:50+08:00
000099,中信海直,17.85,1.02,102.56,流入,1444.25,2026-05-06T15:00:00+08:00,2026-05-27T09:17:51+08:00
